"ind"	"control_ind"	"year"	"plot"	"pathogen"	"trait1"	"trait2"	"trait3"
"Coll0022"	0	2016	"43"	"TRUE"	87.97689	17.28545	1
"Coll0022"	0	2016	"44"	"TRUE"	99.70216	16.97936	1
"Coll0023"	0	2016	"45"	"TRUE"	80.64603	18.83206	1
"Coll0023"	0	2016	"46"	"TRUE"	63.11037	18.8398	1
"Coll0024"	0	2016	"47"	"TRUE"	93.92258	18.69292	1
"Coll0024"	0	2016	"48"	"TRUE"	79.49866	17.15885	1
"Coll0025"	0	2016	"49"	"TRUE"	65.78198	20.37787	1
"Coll0025"	0	2016	"50"	"TRUE"	66.90184	21.72084	1
"Coll0026"	0	2016	"51"	"TRUE"	82.79212	16.64531	1
"Coll0026"	0	2016	"52"	"TRUE"	95.90588	17.12546	1
"Coll0027"	0	2016	"53"	"TRUE"	79.14747	19.01904	1
"Coll0027"	0	2016	"54"	"TRUE"	81.15103	18.46643	1
"Coll0028"	0	2016	"55"	"TRUE"	67.14066	22.56933	1
"Coll0028"	0	2016	"56"	"TRUE"	85.27079	21.50405	1
"Coll0029"	0	2016	"57"	"TRUE"	77.24534	22.35634	1
"Coll0029"	0	2016	"58"	"TRUE"	81.01585	19.41192	1
"Coll0030"	0	2016	"59"	"TRUE"	72.28212	20.08833	1
"Coll0030"	0	2016	"60"	"TRUE"	56.02979	19.0708	1
"Coll0031"	0	2016	"61"	"TRUE"	84.93607	18.04346	0
"Coll0031"	0	2016	"62"	"TRUE"	79.9064	18.23753	0
"Coll0032"	0	2016	"63"	"TRUE"	51.0645	17.5486	1
"Coll0032"	0	2016	"64"	"TRUE"	56.31734	15.78492	1
"Coll0033"	0	2016	"65"	"TRUE"	57.56601	18.29022	1
"Coll0033"	0	2016	"66"	"TRUE"	93.02904	18.45753	1
"Coll0034"	0	2016	"67"	"TRUE"	68.60775	18.1714	0
"Coll0034"	0	2016	"68"	"TRUE"	75.6608	17.26126	0
"Coll0035"	0	2016	"69"	"TRUE"	91.82765	17.22637	1
"Coll0035"	0	2016	"70"	"TRUE"	78.773	16.89491	1
"Coll0036"	0	2016	"71"	"TRUE"	42.28881	22.5511	1
"Coll0036"	0	2016	"72"	"TRUE"	50.68588	21.94813	1
"Coll0037"	0	2016	"73"	"TRUE"	105.05908	18.25072	0
"Coll0037"	0	2016	"74"	"TRUE"	93.67926	18.08123	0
"Coll0038"	0	2016	"75"	"TRUE"	57.52859	18.25152	1
"Coll0038"	0	2016	"76"	"TRUE"	77.65705	16.46298	1
"Coll0039"	0	2016	"77"	"TRUE"	58.55073	15.67253	1
"Coll0039"	0	2016	"78"	"TRUE"	84.42281	16.99032	1
"Coll0040"	0	2016	"79"	"TRUE"	57.85298	18.47836	1
"Coll0040"	0	2016	"80"	"TRUE"	74.62804	17.38242	1
"Coll0041"	0	2016	"81"	"TRUE"	62.54864	18.433	1
"Coll0041"	0	2016	"82"	"TRUE"	61.37483	18.9652	1
"Coll0042"	0	2016	"83"	"TRUE"	99.45309	15.33796	1
"Coll0042"	0	2016	"84"	"TRUE"	90.89664	16.33769	1
"Coll0043"	0	2016	"85"	"TRUE"	69.07496	16.87677	0
"Coll0043"	0	2016	"86"	"TRUE"	63.98854	17.72305	0
"Coll0044"	0	2016	"87"	"TRUE"	64.27715	18.12201	1
"Coll0044"	0	2016	"88"	"TRUE"	78.30914	19.40332	1
"Coll0045"	0	2016	"89"	"TRUE"	87.26756	18.26523	1
"Coll0045"	0	2016	"90"	"TRUE"	73.45093	17.54961	1
"Coll0046"	0	2016	"91"	"TRUE"	98.50006	17.49904	1
"Coll0046"	0	2016	"92"	"TRUE"	98.26169	17.52322	1
"Coll0047"	0	2016	"93"	"TRUE"	84.65733	17.85841	1
"Coll0047"	0	2016	"94"	"TRUE"	95.85603	18.41307	1
"Coll0048"	0	2016	"95"	"TRUE"	65.34521	20.73459	1
"Coll0048"	0	2016	"96"	"TRUE"	75.36159	21.08991	1
"Coll0049"	0	2016	"97"	"TRUE"	97.22324	19.18479	0
"Coll0049"	0	2016	"98"	"TRUE"	90.513	19.51115	0
"Coll0050"	0	2016	"99"	"TRUE"	75.82628	20.21777	1
"Coll0050"	0	2016	"100"	"TRUE"	59.99721	20.04454	1
"Coll0051"	0	2016	"101"	"TRUE"	77.21009	20.45256	1
"Coll0051"	0	2016	"102"	"TRUE"	95.29668	19.28676	1
"Coll0052"	0	2016	"103"	"TRUE"	78.35588	18.68083	1
"Coll0052"	0	2016	"104"	"TRUE"	94.09226	18.45375	1
"Coll0053"	0	2016	"105"	"TRUE"	64.63267	17.09649	1
"Coll0053"	0	2016	"106"	"TRUE"	93.68627	19.27897	1
"Coll0054"	0	2016	"107"	"TRUE"	95.38593	20.32786	1
"Coll0054"	0	2016	"108"	"TRUE"	67.4298	20.22898	1
"Coll0055"	0	2016	"109"	"TRUE"	80.20862	18.80278	1
"Coll0055"	0	2016	"110"	"TRUE"	88.27186	18.4207	1
"Coll0056"	0	2016	"111"	"TRUE"	65.82745	16.57807	1
"Coll0056"	0	2016	"112"	"TRUE"	55.1389	17.50507	1
"Coll0057"	0	2016	"113"	"TRUE"	93.24913	19.33865	1
"Coll0057"	0	2016	"114"	"TRUE"	91.07551	17.88416	1
"Coll0058"	0	2016	"115"	"TRUE"	103.24169	18.10498	0
"Coll0058"	0	2016	"116"	"TRUE"	78.23696	19.0415	0
"Coll0059"	0	2016	"117"	"TRUE"	49.17157	18.46456	0
"Coll0059"	0	2016	"118"	"TRUE"	76.95965	17.60476	0
"Coll0060"	0	2016	"119"	"TRUE"	109.47544	17.61011	1
"Coll0060"	0	2016	"120"	"TRUE"	103.24662	17.24133	1
"Coll0061"	0	2016	"121"	"TRUE"	80.94212	18.52371	1
"Coll0061"	0	2016	"122"	"TRUE"	112.69671	19.56433	1
"Coll0062"	0	2016	"123"	"TRUE"	63.56174	18.04569	1
"Coll0062"	0	2016	"124"	"TRUE"	95.41318	20.45255	1
"Coll0063"	0	2016	"125"	"TRUE"	88.96206	18.33679	0
"Coll0063"	0	2016	"126"	"TRUE"	87.46108	18.27031	0
"Coll0064"	0	2016	"127"	"TRUE"	86.05439	21.55444	0
"Coll0064"	0	2016	"128"	"TRUE"	88.05704	21.92406	0
"Coll0065"	0	2016	"129"	"TRUE"	105.21467	18.29881	0
"Coll0065"	0	2016	"130"	"TRUE"	103.0033	18.62995	0
"Coll0066"	0	2016	"131"	"TRUE"	44.91026	20.48489	1
"Coll0066"	0	2016	"132"	"TRUE"	69.75945	20.02937	1
"Coll0067"	0	2016	"133"	"TRUE"	84.52515	16.50334	1
"Coll0067"	0	2016	"134"	"TRUE"	66.48426	18.95096	1
"Coll0068"	0	2016	"135"	"TRUE"	121.83701	18.50404	0
"Coll0068"	0	2016	"136"	"TRUE"	123.98394	17.45596	0
"Coll0069"	0	2016	"137"	"TRUE"	82.273	19.28266	1
"Coll0069"	0	2016	"138"	"TRUE"	75.32153	19.46615	1
"Coll0070"	0	2016	"139"	"TRUE"	70.51346	20.18955	1
"Coll0070"	0	2016	"140"	"TRUE"	73.17805	19.68371	1
"Coll0071"	0	2016	"141"	"TRUE"	82.74167	17.48169	1
"Coll0071"	0	2016	"142"	"TRUE"	72.13616	18.56428	1
"Coll0072"	0	2016	"143"	"TRUE"	86.25059	18.72274	1
"Coll0072"	0	2016	"144"	"TRUE"	67.56586	19.30854	1
"Coll0073"	0	2016	"145"	"TRUE"	110.78885	18.74002	0
"Coll0073"	0	2016	"146"	"TRUE"	148.21562	18.80049	0
"Coll0074"	0	2016	"147"	"TRUE"	66.64029	18.3384	0
"Coll0074"	0	2016	"148"	"TRUE"	83.34735	19.1842	0
"Coll0075"	0	2016	"149"	"TRUE"	88.21159	16.43793	1
"Coll0075"	0	2016	"150"	"TRUE"	108.84466	16.9199	1
"Coll0076"	0	2016	"151"	"TRUE"	109.48899	17.10369	1
"Coll0076"	0	2016	"152"	"TRUE"	79.90777	16.82627	1
"Coll0077"	0	2016	"153"	"TRUE"	51.42192	19.29255	1
"Coll0077"	0	2016	"154"	"TRUE"	58.67988	20.07453	1
"Coll0078"	0	2016	"155"	"TRUE"	98.81715	18.53602	0
"Coll0078"	0	2016	"156"	"TRUE"	98.18129	19.99581	0
"Coll0079"	0	2016	"157"	"TRUE"	70.71016	16.88406	1
"Coll0079"	0	2016	"158"	"TRUE"	66.23386	15.49621	1
"Coll0080"	0	2016	"159"	"TRUE"	82.21034	21.6175	1
"Coll0080"	0	2016	"160"	"TRUE"	59.50031	20.07461	1
"Coll0081"	0	2016	"161"	"TRUE"	82.01071	19.07986	1
"Coll0081"	0	2016	"162"	"TRUE"	110.21356	18.86293	1
"Coll0082"	0	2016	"163"	"TRUE"	70.92167	20.4119	1
"Coll0082"	0	2016	"164"	"TRUE"	66.23323	21.10002	1
"Coll0083"	0	2016	"165"	"TRUE"	79.14873	17.01526	1
"Coll0083"	0	2016	"166"	"TRUE"	72.39216	17.62254	1
"Coll0084"	0	2016	"167"	"TRUE"	67.6161	17.74492	1
"Coll0084"	0	2016	"168"	"TRUE"	79.37087	18.76411	1
"Coll0085"	0	2016	"169"	"TRUE"	100.62022	17.91144	0
"Coll0085"	0	2016	"170"	"TRUE"	40.03194	17.92438	0
"Coll0086"	0	2016	"171"	"TRUE"	75.30936	19.0555	1
"Coll0086"	0	2016	"172"	"TRUE"	73.12524	18.18321	1
"Coll0087"	0	2016	"173"	"TRUE"	84.87342	17.1998	1
"Coll0087"	0	2016	"174"	"TRUE"	70.49744	17.05953	1
"Coll0088"	0	2016	"175"	"TRUE"	60.02142	18.89537	1
"Coll0088"	0	2016	"176"	"TRUE"	57.7227	17.26337	1
"Coll0089"	0	2016	"177"	"TRUE"	60.53772	17.99023	1
"Coll0089"	0	2016	"178"	"TRUE"	72.14879	19.51644	1
"Coll0090"	0	2016	"179"	"TRUE"	64.08991	20.94323	1
"Coll0090"	0	2016	"180"	"TRUE"	88.26025	19.05676	1
"Coll0091"	0	2016	"181"	"TRUE"	75.52623	17.11151	1
"Coll0091"	0	2016	"182"	"TRUE"	64.19588	17.19791	1
"Coll0092"	0	2016	"183"	"TRUE"	75.09365	19.81337	1
"Coll0092"	0	2016	"184"	"TRUE"	79.4448	19.88918	1
"Coll0093"	0	2016	"185"	"TRUE"	84.93922	17.46642	1
"Coll0093"	0	2016	"186"	"TRUE"	82.01759	16.47592	1
"Coll0094"	0	2016	"187"	"TRUE"	86.20007	20.95986	1
"Coll0094"	0	2016	"188"	"TRUE"	80.06503	19.99585	1
"Coll0095"	0	2016	"189"	"TRUE"	115.60337	17.79983	0
"Coll0095"	0	2016	"190"	"TRUE"	112.35422	16.48102	0
"Coll0096"	0	2016	"191"	"TRUE"	72.77045	16.96029	1
"Coll0096"	0	2016	"192"	"TRUE"	67.40217	18.69765	1
"Coll0097"	0	2016	"193"	"TRUE"	90.13676	16.15536	1
"Coll0097"	0	2016	"194"	"TRUE"	99.05488	17.45739	1
"Coll0098"	0	2016	"195"	"TRUE"	80.86732	18.53775	1
"Coll0098"	0	2016	"196"	"TRUE"	73.25922	19.65931	1
"Coll0099"	0	2016	"197"	"TRUE"	66.19495	19.74512	1
"Coll0099"	0	2016	"198"	"TRUE"	55.07424	21.62027	1
"Coll0100"	0	2016	"199"	"TRUE"	78.88136	17.13138	1
"Coll0100"	0	2016	"200"	"TRUE"	90.42874	18.64039	1
"Coll0101"	0	2016	"201"	"TRUE"	53.41725	20.12169	1
"Coll0101"	0	2016	"202"	"TRUE"	60.90504	20.05468	1
"Coll0102"	0	2016	"203"	"TRUE"	81.91948	19.78233	1
"Coll0102"	0	2016	"204"	"TRUE"	78.22627	18.42636	1
"Coll0103"	0	2016	"205"	"TRUE"	55.17294	17.28845	1
"Coll0103"	0	2016	"206"	"TRUE"	93.32497	18.45864	1
"Coll0104"	0	2016	"207"	"TRUE"	69.08944	17.24011	1
"Coll0104"	0	2016	"208"	"TRUE"	81.23452	18.72507	1
"Coll0105"	0	2016	"209"	"TRUE"	71.36812	19.87581	1
"Coll0105"	0	2016	"210"	"TRUE"	67.82992	21.95364	1
"Coll0106"	0	2016	"211"	"TRUE"	105.42845	16.14857	1
"Coll0106"	0	2016	"212"	"TRUE"	82.75635	15.56388	1
"Coll0107"	0	2016	"213"	"TRUE"	86.45202	20.09349	1
"Coll0107"	0	2016	"214"	"TRUE"	85.20672	19.73474	1
"Coll0108"	0	2016	"215"	"TRUE"	60.06464	22.1899	1
"Coll0108"	0	2016	"216"	"TRUE"	57.9936	20.55878	1
"Coll0109"	0	2016	"217"	"TRUE"	54.8121	20.91288	1
"Coll0109"	0	2016	"218"	"TRUE"	86.62211	19.42238	1
"Coll0110"	0	2016	"219"	"TRUE"	97.01894	19.51852	1
"Coll0110"	0	2016	"220"	"TRUE"	93.19896	19.68987	1
"Coll0111"	0	2016	"221"	"TRUE"	66.13668	18.38576	1
"Coll0111"	0	2016	"222"	"TRUE"	102.04134	18.2926	1
"Coll0112"	0	2016	"223"	"TRUE"	108.73533	17.58386	1
"Coll0112"	0	2016	"224"	"TRUE"	95.98561	16.96922	1
"Coll0113"	0	2016	"225"	"TRUE"	61.30249	16.49109	1
"Coll0113"	0	2016	"226"	"TRUE"	82.04237	16.81765	1
"Coll0114"	0	2016	"227"	"TRUE"	98.63732	18.72684	1
"Coll0114"	0	2016	"228"	"TRUE"	69.4557	20.03044	1
"Coll0115"	0	2016	"229"	"TRUE"	80.53415	19.33252	1
"Coll0115"	0	2016	"230"	"TRUE"	64.16196	16.85401	1
"Coll0116"	0	2016	"231"	"TRUE"	95.28511	18.3831	1
"Coll0116"	0	2016	"232"	"TRUE"	61.19039	17.63749	1
"Coll0117"	0	2016	"233"	"TRUE"	105.35034	20.09258	1
"Coll0117"	0	2016	"234"	"TRUE"	87.43915	20.33533	1
"Coll0118"	0	2016	"235"	"TRUE"	89.02433	16.17527	1
"Coll0118"	0	2016	"236"	"TRUE"	86.87694	16.70895	1
"Coll0119"	0	2016	"237"	"TRUE"	82.67	19.82076	1
"Coll0119"	0	2016	"238"	"TRUE"	78.40445	19.24385	1
"Coll0120"	0	2016	"239"	"TRUE"	50.09231	18.87156	1
"Coll0120"	0	2016	"240"	"TRUE"	71.32689	17.69944	1
"Coll0121"	0	2016	"241"	"TRUE"	52.63964	22.00912	1
"Coll0121"	0	2016	"242"	"TRUE"	56.58964	22.94173	1
"Coll0122"	0	2016	"243"	"TRUE"	78.0329	19.25861	1
"Coll0122"	0	2016	"244"	"TRUE"	96.78663	19.96087	1
"Coll0123"	0	2016	"245"	"TRUE"	67.28397	16.00094	1
"Coll0123"	0	2016	"246"	"TRUE"	83.17415	17.6743	1
"Coll0124"	0	2016	"247"	"TRUE"	102.62579	18.80523	1
"Coll0124"	0	2016	"248"	"TRUE"	104.5151	19.36033	1
"Coll0125"	0	2016	"249"	"TRUE"	90.54033	16.30816	1
"Coll0125"	0	2016	"250"	"TRUE"	100.76637	18.56394	1
"Coll0126"	0	2016	"251"	"TRUE"	88.30744	20.88044	1
"Coll0126"	0	2016	"252"	"TRUE"	89.40965	20.32961	1
"Coll0127"	0	2016	"253"	"TRUE"	80.02025	18.82018	1
"Coll0127"	0	2016	"254"	"TRUE"	92.86385	17.63966	1
"Coll0128"	0	2016	"255"	"TRUE"	104.19085	17.85264	0
"Coll0128"	0	2016	"256"	"TRUE"	75.02537	17.22957	1
"Coll0129"	0	2016	"257"	"TRUE"	89.11027	16.26502	1
"Coll0129"	0	2016	"258"	"TRUE"	69.89861	18.13618	1
"Coll0130"	0	2016	"259"	"TRUE"	79.14389	17.82725	1
"Coll0130"	0	2016	"260"	"TRUE"	80.36812	17.99411	1
"Coll0131"	0	2016	"261"	"TRUE"	64.77622	17.26303	1
"Coll0131"	0	2016	"262"	"TRUE"	46.9836	18.79357	1
"Coll0132"	0	2016	"263"	"TRUE"	91.47915	18.18149	0
"Coll0132"	0	2016	"264"	"TRUE"	48.72128	19.67579	0
"Coll0133"	0	2016	"265"	"TRUE"	86.7633	14.9437	1
"Coll0133"	0	2016	"266"	"TRUE"	77.07986	15.54964	1
"Coll0134"	0	2016	"267"	"TRUE"	83.26209	20.43511	1
"Coll0134"	0	2016	"268"	"TRUE"	72.4477	20.22593	1
"Coll0135"	0	2016	"269"	"TRUE"	91.68345	20.92032	1
"Coll0135"	0	2016	"270"	"TRUE"	83.26785	19.40774	1
"Coll0136"	0	2016	"271"	"TRUE"	70.82052	18.5311	1
"Coll0136"	0	2016	"272"	"TRUE"	74.19878	18.85489	1
"Coll0137"	0	2016	"273"	"TRUE"	78.48793	18.53131	1
"Coll0137"	0	2016	"274"	"TRUE"	85.28855	18.98484	1
"Coll0138"	0	2016	"275"	"TRUE"	85.05306	16.19659	1
"Coll0138"	0	2016	"276"	"TRUE"	106.46651	17.96989	1
"Coll0139"	0	2016	"277"	"TRUE"	99.35216	19.88821	0
"Coll0139"	0	2016	"278"	"TRUE"	108.25641	20.6561	0
"Coll0140"	0	2016	"279"	"TRUE"	103.26274	18.6824	1
"Coll0140"	0	2016	"280"	"TRUE"	97.54562	18.25383	1
"Coll0141"	0	2016	"281"	"TRUE"	116.15574	17.14552	0
"Coll0141"	0	2016	"282"	"TRUE"	92.16311	19.72749	0
"Coll0142"	0	2016	"283"	"TRUE"	74.9865	17.17671	1
"Coll0142"	0	2016	"284"	"TRUE"	86.97501	16.82844	1
"Coll0143"	0	2016	"285"	"TRUE"	89.87496	16.1202	1
"Coll0143"	0	2016	"286"	"TRUE"	115.88793	16.76826	0
"Coll0144"	0	2016	"287"	"TRUE"	80.65149	17.91515	1
"Coll0144"	0	2016	"288"	"TRUE"	75.71535	18.41615	1
"Coll0145"	0	2016	"289"	"TRUE"	71.82593	18.99535	1
"Coll0145"	0	2016	"290"	"TRUE"	57.60357	18.8056	1
"Coll0146"	0	2016	"291"	"TRUE"	115.92066	15.86603	0
"Coll0146"	0	2016	"292"	"TRUE"	74.1374	14.97437	1
"Coll0147"	0	2016	"293"	"TRUE"	80.64237	16.77666	1
"Coll0147"	0	2016	"294"	"TRUE"	77.80142	17.08577	1
"Coll0148"	0	2016	"295"	"TRUE"	63.18631	18.1001	1
"Coll0148"	0	2016	"296"	"TRUE"	66.16019	18.16581	1
"Coll0149"	0	2016	"297"	"TRUE"	52.31162	17.01858	1
"Coll0149"	0	2016	"298"	"TRUE"	52.52152	18.9222	1
"Coll0150"	0	2016	"299"	"TRUE"	86.81224	18.3227	1
"Coll0150"	0	2016	"300"	"TRUE"	86.2488	17.72005	1
"Coll0076"	0	2017	"1"	"FALSE"	75.546	5.313661	0
"Coll0076"	0	2017	"2"	"FALSE"	105.35731	5.939613	0
"Coll0077"	0	2017	"3"	"FALSE"	100.54485	8.721671	0
"Coll0077"	0	2017	"4"	"FALSE"	119.7398	9.412244	0
"Coll0078"	0	2017	"5"	"FALSE"	72.64919	8.725563	0
"Coll0078"	0	2017	"6"	"FALSE"	88.20965	7.612878	0
"Coll0079"	0	2017	"7"	"FALSE"	105.44468	5.462917	0
"Coll0079"	0	2017	"8"	"FALSE"	103.10786	5.585196	0
"Coll0080"	0	2017	"9"	"FALSE"	102.47803	7.242351	0
"Coll0080"	0	2017	"10"	"FALSE"	92.15162	7.25638	0
"Coll0081"	0	2017	"11"	"FALSE"	122.75168	6.642707	0
"Coll0081"	0	2017	"12"	"FALSE"	119.30525	6.420822	0
"Coll0082"	0	2017	"13"	"FALSE"	75.8804	7.425311	0
"Coll0082"	0	2017	"14"	"FALSE"	105.19159	8.163806	0
"Coll0083"	0	2017	"15"	"FALSE"	110.83096	6.26126	0
"Coll0083"	0	2017	"16"	"FALSE"	112.73583	6.020709	0
"Coll0084"	0	2017	"17"	"FALSE"	103.58187	7.529683	0
"Coll0084"	0	2017	"18"	"FALSE"	109.87304	7.446105	0
"Coll0085"	0	2017	"19"	"FALSE"	70.84717	7.59619	0
"Coll0085"	0	2017	"20"	"FALSE"	92.84127	6.774235	0
"Coll0086"	0	2017	"21"	"FALSE"	90.87479	7.181663	0
"Coll0086"	0	2017	"22"	"FALSE"	114.77524	5.465003	0
"Coll0087"	0	2017	"23"	"FALSE"	117.48056	5.765578	0
"Coll0087"	0	2017	"24"	"FALSE"	146.87536	4.789601	0
"Coll0088"	0	2017	"25"	"FALSE"	64.55744	8.302416	0
"Coll0088"	0	2017	"26"	"FALSE"	76.89919	7.382371	0
"Coll0089"	0	2017	"27"	"FALSE"	111.55543	6.83179	0
"Coll0089"	0	2017	"28"	"FALSE"	124.66914	6.186203	0
"Coll0090"	0	2017	"29"	"FALSE"	105.99906	10.835163	0
"Coll0090"	0	2017	"30"	"FALSE"	88.93116	8.867513	0
"Coll0091"	0	2017	"31"	"FALSE"	104.87565	6.120832	0
"Coll0091"	0	2017	"32"	"FALSE"	99.41626	5.402001	0
"Coll0092"	0	2017	"33"	"FALSE"	114.72389	8.251777	0
"Coll0092"	0	2017	"34"	"FALSE"	91.15848	8.410828	0
"Coll0093"	0	2017	"35"	"FALSE"	105.64626	4.810159	0
"Coll0093"	0	2017	"36"	"FALSE"	136.52299	4.767789	0
"Coll0094"	0	2017	"37"	"FALSE"	92.81292	8.068636	0
"Coll0094"	0	2017	"38"	"FALSE"	91.5296	8.19617	0
"Coll0095"	0	2017	"39"	"FALSE"	116.8166	5.788554	0
"Coll0095"	0	2017	"40"	"FALSE"	108.97818	3.956636	0
"Coll0096"	0	2017	"41"	"FALSE"	81.03397	7.402847	0
"Coll0096"	0	2017	"42"	"FALSE"	82.03811	8.21581	0
"Coll0097"	0	2017	"43"	"FALSE"	143.45659	5.26097	0
"Coll0097"	0	2017	"44"	"FALSE"	138.63181	6.104059	0
"Coll0098"	0	2017	"45"	"FALSE"	124.19468	8.16463	0
"Coll0098"	0	2017	"46"	"FALSE"	121.06446	7.921627	0
"Coll0099"	0	2017	"47"	"FALSE"	70.61941	8.691948	0
"Coll0099"	0	2017	"48"	"FALSE"	85.14271	10.29704	0
"Coll0100"	0	2017	"49"	"FALSE"	144.49891	8.192867	0
"Coll0100"	0	2017	"50"	"FALSE"	104.69389	8.104476	0
"Coll0101"	0	2017	"51"	"FALSE"	86.70884	9.19263	0
"Coll0101"	0	2017	"52"	"FALSE"	100.47651	8.684037	0
"Coll0102"	0	2017	"53"	"FALSE"	105.92156	6.858006	0
"Coll0102"	0	2017	"54"	"FALSE"	100.28886	8.153158	0
"Coll0103"	0	2017	"55"	"FALSE"	74.92267	8.153824	0
"Coll0103"	0	2017	"56"	"FALSE"	98.75672	8.046972	0
"Coll0104"	0	2017	"57"	"FALSE"	104.17849	6.753381	0
"Coll0104"	0	2017	"58"	"FALSE"	82.99217	7.112747	0
"Coll0105"	0	2017	"59"	"FALSE"	83.58916	8.684964	0
"Coll0105"	0	2017	"60"	"FALSE"	101.70461	7.90796	0
"Coll0106"	0	2017	"61"	"FALSE"	80.0008	5.330409	0
"Coll0106"	0	2017	"62"	"FALSE"	114.67863	5.495658	0
"Coll0107"	0	2017	"63"	"FALSE"	117.18902	8.8234	0
"Coll0107"	0	2017	"64"	"FALSE"	113.57726	9.256409	0
"Coll0108"	0	2017	"65"	"FALSE"	104.74264	10.759797	0
"Coll0108"	0	2017	"66"	"FALSE"	90.88027	10.063746	0
"Coll0109"	0	2017	"67"	"FALSE"	120.07091	8.39372	0
"Coll0109"	0	2017	"68"	"FALSE"	93.87711	8.585001	0
"Coll0110"	0	2017	"69"	"FALSE"	113.42111	6.842385	0
"Coll0110"	0	2017	"70"	"FALSE"	111.63851	7.973482	0
"Coll0111"	0	2017	"71"	"FALSE"	113.99756	7.910287	0
"Coll0111"	0	2017	"72"	"FALSE"	108.98128	7.380542	0
"Coll0112"	0	2017	"73"	"FALSE"	104.07389	5.721857	0
"Coll0112"	0	2017	"74"	"FALSE"	124.26325	6.243796	0
"Coll0113"	0	2017	"75"	"FALSE"	107.90826	4.574278	0
"Coll0113"	0	2017	"76"	"FALSE"	100.06933	6.285812	0
"Coll0114"	0	2017	"77"	"FALSE"	87.23495	8.29527	0
"Coll0114"	0	2017	"78"	"FALSE"	107.94162	7.476644	0
"Coll0115"	0	2017	"79"	"FALSE"	103.60958	7.395037	0
"Coll0115"	0	2017	"80"	"FALSE"	77.61046	5.813808	0
"Coll0116"	0	2017	"81"	"FALSE"	126.93924	6.533926	0
"Coll0116"	0	2017	"82"	"FALSE"	114.84325	5.010752	0
"Coll0117"	0	2017	"83"	"FALSE"	119.67356	8.154318	0
"Coll0117"	0	2017	"84"	"FALSE"	132.32103	7.848999	0
"Coll0118"	0	2017	"85"	"FALSE"	101.07565	5.308705	0
"Coll0118"	0	2017	"86"	"FALSE"	105.4592	4.167568	0
