ind	year	plot	pathogen	trait1	trait2	trait3
Coll0758	2012	323	FALSE	88.757061886216	17.4875289250588	0
Coll0758	2012	324	FALSE	93.6654851555206	16.2869007181933	0
Coll0758	2012	325	FALSE	85.6590594660189	16.4568345701952	0
Coll0163	2013	301	FALSE	121.253446364518	16.7232783404624	0
Coll0163	2013	302	FALSE	82.3658291483054	15.1551026207154	0
Coll0163	2013	303	FALSE	81.5761361693869	15.7773231114109	0
Coll0163	2013	304	FALSE	101.858369060962	16.598052941426	0
Coll0163	2013	305	FALSE	115.874876138415	14.7777242564574	0
Coll0389	2013	306	FALSE	114.325144526996	15.4048246089985	0
Coll0389	2013	307	FALSE	121.049426341764	15.5535569987733	0
Coll0389	2013	308	FALSE	109.68152141221	16.2776349183295	0
Coll0389	2013	309	FALSE	134.938352272056	16.379209969127	0
Coll0389	2013	310	FALSE	107.20852839968	15.2625370400892	0
Coll0598	2013	311	FALSE	151.921836617158	16.3649721204943	0
Coll0598	2013	312	FALSE	111.407556334832	15.6004255811238	0
Coll0598	2013	313	FALSE	128.424775280023	15.0163840409348	0
Coll0598	2013	314	FALSE	93.5619856940942	15.6964253036337	0
Coll0598	2013	315	FALSE	103.999085788381	15.3967621021766	0
Coll0611	2013	316	FALSE	97.4631929179747	17.1082784946259	0
Coll0611	2013	317	FALSE	115.284179455474	16.9718713562204	0
Coll0611	2013	318	FALSE	101.60814753615	16.9683414726332	0
Coll0611	2013	319	FALSE	106.871101252695	16.748109250287	0
Coll0611	2013	320	FALSE	112.178212707148	18.3678727499113	0
Coll0758	2013	321	FALSE	128.646953615776	15.1722695307816	0
Coll0758	2013	322	FALSE	100.481719535597	15.9659723381522	0
Coll0758	2013	323	FALSE	113.750391054185	16.4670477716801	0
Coll0758	2013	324	FALSE	97.9737898360394	15.8346113133963	0
Coll0758	2013	325	FALSE	111.999610270516	17.2047159506831	0
Coll0163	2014	301	TRUE	124.142549719217	18.5723705869508	0
Coll0163	2014	302	TRUE	97.5009140935128	17.967882425464	1
Coll0163	2014	303	TRUE	122.411309254061	16.8949385618024	1
Coll0163	2014	304	TRUE	127.144865924397	19.3631025208488	1
Coll0163	2014	305	TRUE	97.6850051311228	17.3125724168899	1
Coll0389	2014	306	TRUE	161.688416313499	18.4815071102503	0
Coll0389	2014	307	TRUE	144.668485325406	17.8845614189369	0
Coll0389	2014	308	TRUE	159.955689388666	17.6032206252381	0
Coll0389	2014	309	TRUE	147.77857735339	18.1481000102955	0
Coll0389	2014	310	TRUE	156.700488178582	18.0669712229799	0
Coll0598	2014	311	TRUE	160.454829406052	17.4806856797491	0
Coll0598	2014	312	TRUE	147.007459983425	18.1016765101392	0
Coll0598	2014	313	TRUE	136.667017184523	17.3961809976348	0
Coll0598	2014	314	TRUE	153.371739561543	18.0221869997639	0
Coll0598	2014	315	TRUE	141.379878902428	16.9398319280928	0
Coll0611	2014	316	TRUE	100.645531586137	19.6905497650745	1
Coll0611	2014	317	TRUE	103.519862840911	18.7224409635897	1
Coll0611	2014	318	TRUE	102.9601255434	18.6192878030099	1
Coll0611	2014	319	TRUE	125.541591426037	18.928619257755	1
Coll0611	2014	320	TRUE	131.840584147913	18.0281263219822	1
Coll0758	2014	321	TRUE	121.332819572667	17.9684651083703	1
Coll0758	2014	322	TRUE	110.757452199851	18.1466670508912	1
Coll0758	2014	323	TRUE	123.23096424562	17.5169700415327	1
Coll0758	2014	324	TRUE	131.784299085951	18.5943136026745	1
Coll0758	2014	325	TRUE	114.736022758753	17.2289073688257	1
